Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
13,32.75,160.5,-5.6596,32.75,173.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,119,0,0,-0.019444444,,,,135,0,0,-0.019444444,,,,135,0,0,-0.019444444,,,,144,0,0,-0.019444444,,,,146,0,0,-0.019444444,,,,147,0,0,-0.019444444,,,,,,,,,,,,,13,Round Tubing,0.4375,0.028,0.122329019,0,13,44,54
14,0,63.0023,-5.6596,0,61.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,128,0,0,-0.019444444,,,,136,0,0,-0.019444444,,,,136,0,0,-0.019444444,,,,145,0,0,-0.019444444,,,,147,0,0,-0.019444444,,,,148,0,0,-0.019444444,,,,,,,,,,,,,14,Round Tubing,0.4375,0.035,0.150297405,0,14,44,54
15,0,74.5,-5.6596,0,63.0023,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,129,0,0,-0.019444444,,,,137,0,0,-0.019444444,,,,137,0,0,-0.019444444,,,,148,0,0,-0.019444444,,,,148,0,0,-0.019444444,,,,149,0,0,-0.019444444,,,,,,,,,,,,,15,Round Tubing,0.4375,0.049,0.203097537,0,15,44,54
16,0,81,-5.6596,0,74.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,133,0,0,-0.019444444,,,,138,0,0,-0.019444444,,,,138,0,0,-0.019444444,,,,149,0,0,-0.019444444,,,,149,0,0,-0.019444444,,,,150,0,0,-0.019444444,,,,,,,,,,,,,16,Round Tubing,0.5,0.028,0.140999504,0,16,2,24
17,0,48.5,-5.6596,0,42,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,76,0,0,-0.0125,,,,139,0,0,-0.019444444,,,,139,0,0,-0.019444444,,,,150,0,0,-0.019444444,,,,150,0,0,-0.019444444,,,,102,0,0,-0.0125,,,,,,,,,,,,,17,Round Tubing,0.5,0.035,0.173635512,0,17,2,24
18,0,61.5,-5.6596,0,48.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,95,0,0,-0.0125,,,,140,0,0,-0.019444444,,,,140,0,0,-0.019444444,,,,95,0,0,-0.0125,,,,97,0,0,-0.0125,,,,104,0,0,-0.0125,,,,,,,,,,,,,18,Round Tubing,0.5,0.049,0.235770886,0,18,2,24
19,32.75,134.5,-5.6596,32.75,141,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,96,0,0,-0.0125,,,,96,0,0,-0.0125,,,,143,0,0,-0.019444444,,,,96,0,0,-0.0125,,,,98,0,0,-0.0125,,,,105,0,0,-0.0125,,,,,,,,,,,,,19,Round Tubing,0.5,0.058,0.273506604,0,19,2,24
20,32.75,108.5,-5.6596,32.75,109.9465,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,99,0,0,-0.0125,,,,97,0,0,-0.0125,,,,144,0,0,-0.019444444,,,,97,0,0,-0.0125,,,,102,0,0,-0.0125,,,,106,0,0,-0.0125,,,,,,,,,,,,,20,Round Tubing,0.5,0.065,0.301661696,0,20,2,24
21,32.75,102,-5.6596,32.75,108.5,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,100,0,0,-0.0125,,,,98,0,0,-0.0125,,,,102,0,0,-0.0125,,,,99,0,0,-0.0125,,,,112,0,0,-0.0125,,,,107,0,0,-0.0125,,,,,,,,,,,,,21,Round Tubing,0.625,0.028,0.178340474,0,21,2,24
22,32.75,122.161,-5.6596,32.75,134.5,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,101,0,0,-0.0125,,,,99,0,0,-0.0125,,,,105,0,0,-0.0125,,,,100,0,0,-0.0125,,,,113,0,0,-0.0125,,,,108,0,0,-0.0125,,,,,,,,,,,,,22,Round Tubing,0.625,0.035,0.220311725,0,22,44,54
